""ID"",""pca1"",""pca2"",""pca3"",""pca4"",""pca5"",""pca6"",""pca7"",""pca8"",""si1"",""si2"",""si3"",""si4"",""si5"",""si6"",""gef1"",""gef2"",""gef3"",""pefi1"",""pefi2"",""pefi3"",""pefi4"",""lgm1"",""lgm2"",""lgm3"",""eag1"",""eag2"",""eag3"",""eag4"",""eag5"",""eag6"",""eag7"",""eag8"",""vis1"",""vis2"",""vis3"",""gno1"",""gno2"",""gno3"",""gno4"",""vote1"",""vote2"",""soch1"",""soch2"",""soch3"",""soch4"",""ipol1"",""ipol2"",""ipol3"",""ipol4"",""coid"",""por1"",""sex"",""reli"",""school"",""age""
190,3,4,4,4,4,1,1,1,5,4,5,3,3,4,5,4,5,5,3,3,3,3,3,3,2,2,2,1,1,4,2,2,4,3,3,2,1,3,2,3,3,4,2,2,4,2,1,6,1,4,5,2,11,2,1
192,3,3,4,3,2,1,4,3,5,4,5,5,5,5,3,3,3,4,2,3,3,4,4,4,3,4,3,4,3,5,5,5,1,5,5,3,3,4,4,3,3,5,2,2,5,4,2,3,4,3,1,1,9,1,2
194,4,2,1,3,1,1,1,1,4,4,5,3,3,4,5,5,5,4,3,3,3,5,3,4,1,4,1,2,4,3,2,2,5,2,1,3,3,4,5,3,2,5,4,2,5,4,2,6,5,4,5,1,9,2,1
197,5,5,3,4,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,1,5,1,2,3,5,5,5,1,4,1,2,2,4,4,3,3,5,1,1,5,1,3,1,2,3,2,2,9,2,3
198,4,4,2,3,1,1,1,1,5,5,5,4,4,4,4,4,5,5,4,4,4,5,5,5,1,5,1,4,2,5,3,2,4,2,2,4,4,5,4,1,1,4,2,3,4,4,3,6,5,3,3,2,10,2,1
199,5,5,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,1,4,1,4,5,5,5,4,5,1,1,3,3,4,4,3,3,5,2,2,5,5,4,3,3,4,5,2,10,2,1
201,5,5,5,5,2,1,1,1,5,5,5,5,5,4,5,5,5,4,5,4,4,5,4,1,1,5,1,4,5,5,5,5,5,2,1,1,1,4,4,3,3,5,5,5,5,4,1,6,2,3,3,2,1,1,1
202,4,2,2,5,1,1,2,1,5,5,5,3,4,5,5,5,5,5,3,5,5,4,4,4,1,3,1,4,4,4,4,4,4,4,2,4,4,4,4,3,3,4,2,2,4,4,3,6,4,3,1,2,10,1,1
203,3,2,1,3,1,1,3,1,5,4,5,3,3,4,4,4,4,4,3,4,4,5,4,4,1,4,1,1,5,3,2,5,3,4,2,3,2,4,4,3,2,4,2,2,4,2,3,6,4,4,2,2,8,1,1
207,3,2,1,1,1,1,1,1,3,3,3,3,2,2,4,3,3,4,3,4,3,4,3,4,3,4,2,2,4,4,4,4,4,5,2,4,4,3,3,3,3,5,1,1,5,2,2,3,3,3,3,2,9,1,1
208,4,1,1,1,1,1,1,1,2,2,2,2,2,NA,2,3,3,3,1,1,1,4,2,2,1,1,2,1,5,2,1,1,5,1,1,2,1,2,3,3,3,4,2,2,2,1,1,6,1,1,8,2,10,3,1
209,1,1,1,1,1,1,1,1,4,4,4,3,3,4,5,4,4,5,4,4,5,4,3,3,3,5,1,1,5,4,2,1,3,4,4,3,2,4,4,3,2,5,2,3,5,5,3,1,4,1,7,2,10,2,1
213,4,3,3,3,3,2,3,2,4,4,4,3,2,3,4,4,4,5,4,4,3,4,4,4,5,5,3,5,5,5,5,5,5,4,4,4,3,4,3,3,3,4,3,2,4,5,5,6,5,2,2,2,10,1,1
215,2,1,1,1,1,1,1,1,4,4,3,3,4,3,4,4,5,4,4,3,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,4,4,4,4,3,3,4,2,2,4,5,5,6,4,4,3,2,10,2,1
217,2,3,1,2,1,1,1,1,4,3,3,2,2,1,4,4,4,4,2,2,2,4,3,3,4,5,1,3,5,5,5,5,5,3,1,3,3,3,4,3,3,4,4,4,5,6,3,6,4,3,4,2,9,2,2
219,1,2,1,1,1,1,1,1,4,4,3,2,1,1,4,5,5,3,2,3,1,4,3,3,1,3,1,2,5,5,3,5,5,4,2,1,1,2,3,3,2,4,3,3,4,5,4,2,2,3,3,2,10,2,1
222,2,2,1,1,1,1,2,1,4,4,3,3,3,4,3,3,3,3,3,2,2,4,5,4,1,3,1,3,5,3,3,3,5,2,1,3,3,3,3,3,3,4,3,3,4,4,3,6,3,4,8,2,10,2,1
224,2,3,1,1,1,1,3,1,3,4,3,3,3,3,4,4,4,4,3,3,4,4,4,4,1,2,1,1,5,3,4,5,3,4,1,3,2,3,3,3,2,5,2,2,5,2,4,3,2,2,1,2,9,2,2
225,4,3,2,2,1,1,1,1,4,4,5,4,4,4,5,5,4,4,4,4,4,5,4,5,2,5,1,1,2,4,3,4,5,3,1,3,2,4,4,3,3,4,3,3,4,3,4,6,4,4,2,2,8,2,2
